,Loan_ID,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Gender_Imputed,Married_Imputed,Dependents_Imputed,Education_Imputed,Self_Employed_Imputed,Property_Area_Imputed
0,LP001002,5849,0.0,146.41216216216216,360.0,1.0,Y,1,0,0,0,0,2
1,LP001003,4583,1508.0,128.0,360.0,1.0,N,1,1,1,0,0,0
2,LP001005,3000,0.0,66.0,360.0,1.0,Y,1,1,0,0,1,2
3,LP001006,2583,2358.0,120.0,360.0,1.0,Y,1,1,0,1,0,2
4,LP001008,6000,0.0,141.0,360.0,1.0,Y,1,0,0,0,0,2
5,LP001011,5417,4196.0,267.0,360.0,1.0,Y,1,1,2,0,1,2
6,LP001013,2333,1516.0,95.0,360.0,1.0,Y,1,1,0,1,0,2
7,LP001014,3036,2504.0,158.0,360.0,0.0,N,1,1,3,0,0,1
8,LP001018,4006,1526.0,168.0,360.0,1.0,Y,1,1,2,0,0,2
9,LP001020,12841,10968.0,349.0,360.0,1.0,N,1,1,1,0,0,1
10,LP001024,3200,700.0,70.0,360.0,1.0,Y,1,1,2,0,0,2
11,LP001027,2500,1840.0,109.0,360.0,1.0,Y,1,1,2,0,0,2
12,LP001028,3073,8106.0,200.0,360.0,1.0,Y,1,1,2,0,0,2
13,LP001029,1853,2840.0,114.0,360.0,1.0,N,1,0,0,0,0,0
14,LP001030,1299,1086.0,17.0,120.0,1.0,Y,1,1,2,0,0,2
15,LP001032,4950,0.0,125.0,360.0,1.0,Y,1,0,0,0,0,2
16,LP001034,3596,0.0,100.0,240.0,0.8421985815602837,Y,1,0,1,1,0,2
17,LP001036,3510,0.0,76.0,360.0,0.0,N,0,0,0,0,0,2
18,LP001038,4887,0.0,133.0,360.0,1.0,N,1,1,0,1,0,0
19,LP001041,2600,3500.0,115.0,342.0,1.0,Y,1,1,0,0,0,2
20,LP001043,7660,0.0,104.0,360.0,0.0,N,1,1,0,1,0,2
21,LP001046,5955,5625.0,315.0,360.0,1.0,Y,1,1,1,0,0,2
22,LP001047,2600,1911.0,116.0,360.0,0.0,N,1,1,0,1,0,1
23,LP001050,3365,1917.0,112.0,360.0,0.0,N,1,1,2,1,0,0
24,LP001052,3717,2925.0,151.0,360.0,0.8421985815602837,N,1,1,1,0,0,1
25,LP001066,9560,0.0,191.0,360.0,1.0,Y,1,1,0,0,1,1
26,LP001068,2799,2253.0,122.0,360.0,1.0,Y,1,1,0,0,0,1
27,LP001073,4226,1040.0,110.0,360.0,1.0,Y,1,1,2,1,0,2
28,LP001086,1442,0.0,35.0,360.0,1.0,N,1,0,0,1,0,2
29,LP001087,3750,2083.0,120.0,360.0,1.0,Y,0,0,2,0,0,1
30,LP001091,4166,3369.0,201.0,360.0,0.8421985815602837,N,1,1,1,0,0,2
31,LP001095,3167,0.0,74.0,360.0,1.0,N,1,0,0,0,0,2
32,LP001097,4692,0.0,106.0,360.0,1.0,N,1,0,1,0,1,0
